MQ135_Analog,MQ3_Analog,MiCS5524_Analog,Output,RSL_Hours
978,852,803,0,7
329,315,248,1,48
750,784,943,0,8
211,321,230,1,77
525,1014,654,0,8
349,325,192,1,60
951,881,834,0,3
605,731,635,0,14
255,328,314,1,58
339,201,261,1,71
217,265,216,1,87
791,543,821,0,9
703,864,555,0,13
954,837,1001,0,4
126,273,230,1,94
686,633,714,0,14
350,335,309,1,33
176,298,289,1,70
648,856,528,0,13
883,442,891,0,13
125,155,132,1,142
320,113,184,1,109
246,325,160,1,87
139,350,350,1,52
622,760,498,0,11
629,979,513,0,9
149,156,273,1,109
937,749,611,0,7
666,1001,465,0,11
100,350,204,1,91
580,590,585,0,18
480,814,765,0,14
130,131,110,1,148
945,580,614,0,12
225,226,142,1,119
100,196,261,1,124
849,400,687,0,11
905,597,738,0,10
261,213,184,1,108
707,851,623,0,12
304,130,189,1,103
100,283,100,1,126
698,773,712,0,12
131,350,195,1,106
165,102,247,1,119
350,255,314,1,52
200,305,123,1,99
246,256,308,1,80
121,272,241,1,102
297,329,291,1,39
188,145,118,1,130
133,236,100,1,135
768,535,787,0,11
673,613,766,0,14
225,236,322,1,67
669,570,843,0,13
669,761,777,0,11
501,798,499,0,17
732,610,827,0,12
721,736,629,0,13
273,275,233,1,78
888,877,885,0,4
678,637,562,0,13
210,200,289,1,84
142,237,227,1,99
130,153,295,1,106
918,452,830,0,8
344,205,174,1,84
782,415,763,0,13
474,815,747,0,12
230,307,163,1,82
262,226,123,1,99
210,346,217,1,72
571,640,691,0,14
247,155,227,1,99
223,350,350,1,46
742,944,497,0,11
750,824,853,0,7
472,666,587,0,14
138,182,350,1,88
631,723,677,0,14
308,170,314,1,76
522,771,625,0,16
172,350,139,1,89
525,643,591,0,18
192,261,205,1,100
717,787,760,0,12
525,954,567,0,14
350,307,122,1,84
613,879,761,0,12
691,849,716,0,12
205,247,240,1,93
622,1017,808,0,8
532,1023,461,0,10
992,686,796,0,6
649,731,613,0,14
275,286,277,1,71
956,400,671,0,15
956,822,949,0,7
307,152,209,1,92
810,500,551,0,12
905,664,797,0,10
278,246,203,1,96
100,333,308,1,81
156,206,172,1,134
259,176,276,1,80
731,557,608,0,12
337,228,128,1,89
284,134,283,1,84
100,270,328,1,103
462,712,573,0,18
154,168,123,1,134
431,719,556,0,18
306,114,139,1,118
800,974,668,0,6
914,598,829,0,9
136,350,100,1,104
505,888,706,0,14
733,858,759,0,9
549,1023,805,0,5
509,888,662,0,9
808,563,584,0,11
710,806,732,0,9
1016,419,949,0,7
976,671,672,0,11
222,240,217,1,106
646,715,699,0,11
782,813,1023,0,2
242,273,187,1,96
726,566,603,0,12
571,798,573,0,12
140,275,212,1,94
251,150,319,1,92
100,260,125,1,132
884,484,866,0,9
491,922,593,0,12
227,173,336,1,79
717,691,725,0,10
100,168,218,1,137
184,350,287,1,68
643,1003,685,0,7
747,685,583,0,12
714,694,534,0,11
279,212,199,1,84
186,241,217,1,105
139,170,280,1,103
590,766,715,0,13
274,350,350,1,49
108,350,302,1,86
709,792,749,0,12
976,425,631,0,14
334,276,181,1,74
451,915,676,0,13
825,989,937,0,1
823,547,818,0,12
579,862,595,0,11
223,337,214,1,87
185,259,291,1,81
591,752,661,0,13
155,165,271,1,104
343,303,296,1,42
632,800,450,0,14
164,163,189,1,126
184,296,197,1,97
957,833,889,0,3
292,163,264,1,82
943,679,619,0,12
561,606,557,0,13
128,183,219,1,118
234,171,255,1,88
704,536,612,0,14
268,200,334,1,73
233,213,147,1,100
145,228,134,1,120
266,265,119,1,107
603,1003,677,0,8
483,645,502,0,18
141,142,148,1,150
325,177,172,1,86
330,198,100,1,100
503,741,647,0,15
858,545,814,0,13
232,242,216,1,85
221,227,334,1,86
279,136,138,1,115
625,744,762,0,13
138,326,269,1,95
758,637,688,0,14
493,800,694,0,15
537,859,603,0,14
726,598,688,0,14
130,212,194,1,122
167,237,302,1,99
827,911,894,0,7
678,1023,802,0,9
487,739,493,0,14
559,882,756,0,7
952,905,1023,0,1
316,174,249,1,74
273,219,193,1,85
459,968,584,0,13
321,161,350,1,58
757,571,836,0,13
476,965,749,0,12
244,149,145,1,118
103,172,159,1,147
620,913,727,0,7
937,799,966,0,5
168,323,146,1,99
703,813,617,0,9
936,548,839,0,11
296,201,150,1,108
796,769,858,0,10
850,648,799,0,7
449,767,729,0,11
907,720,835,0,6
182,153,104,1,145
126,175,171,1,130
111,260,331,1,88
894,641,569,0,9
708,653,632,0,12
789,505,888,0,10
150,260,183,1,121
114,202,312,1,101
146,171,151,1,139
814,445,714,0,15
314,137,188,1,94
704,683,776,0,9
132,244,100,1,143
664,807,696,0,10
651,962,624,0,8
314,173,207,1,90
667,802,661,0,9
112,333,245,1,88
345,214,103,1,87
243,167,331,1,79
350,141,189,1,92
1023,661,703,0,10
279,211,274,1,77
153,278,125,1,119
733,601,777,0,10
475,1015,701,0,10
100,326,350,1,79
555,924,751,0,12
102,206,156,1,141
165,228,240,1,94
719,429,857,0,15
284,301,221,1,60
823,759,938,0,5
164,100,203,1,139
494,863,695,0,9
626,774,727,0,11
316,295,286,1,59
100,300,230,1,114
201,165,246,1,119
734,590,723,0,10
245,232,223,1,99
761,612,646,0,10
325,210,213,1,71
987,400,864,0,9
100,146,350,1,120
701,837,593,0,9
175,299,279,1,69
225,143,104,1,133
106,227,332,1,98
874,941,973,0,1
326,274,168,1,90
886,484,725,0,12
876,498,756,0,10
513,674,696,0,15
190,125,319,1,94
906,835,826,0,8
767,690,736,0,7
234,206,124,1,129
816,614,776,0,8
409,637,732,0,17
494,816,608,0,14
331,253,212,1,68
278,274,220,1,83
263,189,311,1,74
214,109,316,1,92
507,719,538,0,17
260,203,105,1,127
241,184,193,1,113
115,239,304,1,104
131,292,223,1,97
1023,846,992,0,4
803,529,930,0,8
663,635,704,0,12
146,247,252,1,101
555,581,646,0,15
179,157,131,1,146
114,227,325,1,100
211,216,200,1,94
759,537,709,0,12
205,151,190,1,120
497,989,594,0,13
198,240,193,1,95
590,909,559,0,10
811,1023,981,0,6
722,534,661,0,13
970,439,849,0,12
227,219,350,1,66
151,350,271,1,69
217,290,226,1,86
276,180,204,1,94
591,599,540,0,13
311,314,260,1,62
778,967,827,0,8
769,400,871,0,13
667,743,825,0,13
750,825,859,0,5
209,335,255,1,76
153,132,261,1,111
195,197,157,1,129
247,149,257,1,98
883,778,840,0,4
155,321,146,1,98
259,316,235,1,64
250,124,308,1,90
995,978,1023,0,0
488,772,515,0,17
173,173,176,1,132
110,198,138,1,143
210,171,196,1,120
219,139,330,1,95
986,645,911,0,4
674,638,636,0,12
205,218,190,1,99
599,909,464,0,12
199,195,182,1,123
183,226,320,1,81
247,246,111,1,107
350,108,129,1,115
814,567,555,0,13
920,463,789,0,11
183,320,226,1,95
622,976,713,0,10
466,1023,573,0,11
149,172,159,1,144
338,100,162,1,100
704,769,703,0,9
131,295,219,1,106
493,623,695,0,14
575,1004,670,0,9
144,214,132,1,121
301,223,273,1,66
250,295,191,1,90
231,173,100,1,130
1001,452,807,0,8
350,198,253,1,65
773,528,890,0,9
181,259,307,1,85
163,326,122,1,117
329,350,161,1,67
170,274,152,1,107
268,278,114,1,103
752,458,678,0,12
228,155,221,1,118
565,894,828,0,10
995,908,908,0,4
138,214,267,1,115
790,608,568,0,15
538,950,642,0,10
720,706,799,0,8
945,672,639,0,8
692,677,591,0,11
153,105,238,1,134
520,713,673,0,14
497,861,658,0,14
104,117,131,1,167
187,339,298,1,76
266,195,211,1,92
269,168,182,1,115
350,175,294,1,60
853,662,660,0,12
664,809,620,0,9
145,350,146,1,95
994,1008,867,0,4
303,223,253,1,69
890,621,801,0,6
478,755,733,0,11
278,301,152,1,90
105,350,135,1,109
675,795,536,0,16
407,680,683,0,16
949,933,925,0,4
507,934,729,0,13
157,300,282,1,72
258,350,182,1,79
651,770,563,0,10
711,823,676,0,11
719,843,600,0,12
132,348,332,1,61
866,404,642,0,13
203,187,303,1,90
627,601,680,0,16
198,258,339,1,82
345,162,200,1,91
468,823,696,0,15
997,480,700,0,13
620,870,719,0,8
212,320,350,1,49
335,280,278,1,48
566,791,561,0,14
1009,523,658,0,12
648,761,535,0,12
344,183,100,1,101
149,209,213,1,119
217,216,293,1,96
584,1003,615,0,13
549,1021,682,0,12
520,733,612,0,12
504,637,599,0,14
241,296,242,1,79
309,246,208,1,88
467,748,569,0,13
634,708,586,0,11
906,439,755,0,13
955,1021,824,0,5
317,100,314,1,88
746,644,889,0,9
254,310,315,1,54
990,516,646,0,10
116,265,154,1,124
264,155,282,1,90
619,1000,549,0,13
350,157,224,1,91
561,905,579,0,11
690,875,524,0,10
777,554,910,0,9
554,670,726,0,15
350,350,207,1,48
443,625,568,0,19
535,687,576,0,15
555,757,664,0,10
214,335,276,1,59
949,591,598,0,8
918,805,829,0,7
585,801,575,0,12
622,844,555,0,10
644,850,797,0,11
572,791,466,0,18
896,715,664,0,11
769,540,648,0,10
131,266,170,1,107
103,308,209,1,95
288,173,321,1,63
202,297,302,1,77
307,149,261,1,91
313,270,263,1,52
722,722,792,0,12
125,249,242,1,111
600,980,756,0,7
746,467,704,0,13
409,869,759,0,15
909,824,894,0,2
568,847,565,0,11
581,791,537,0,12
252,311,153,1,77
278,281,231,1,79
711,720,528,0,10
692,832,710,0,11
502,853,575,0,16
218,327,337,1,53
302,142,188,1,93
929,733,958,0,3
483,744,617,0,12
655,792,580,0,13
157,100,206,1,127
562,1001,569,0,8
893,630,777,0,11
291,240,187,1,88
197,152,325,1,95
280,279,128,1,98
516,636,698,0,16
100,231,118,1,143
452,934,741,0,13
826,521,635,0,15
294,100,320,1,92
146,224,150,1,131
813,958,905,0,5
687,446,670,0,14
217,166,180,1,122
439,931,582,0,15
572,939,532,0,13
935,581,745,0,9
330,103,269,1,84
114,159,228,1,122
167,156,178,1,129
1017,417,832,0,7
100,152,341,1,103
673,731,621,0,15
621,930,691,0,8
504,975,713,0,12
282,173,165,1,105
649,861,623,0,12
192,170,316,1,85
802,966,895,0,4
262,158,330,1,88
1023,493,689,0,10
574,906,613,0,13
744,400,756,0,13
296,278,324,1,44
531,978,551,0,10
183,166,298,1,102
302,138,188,1,107
286,256,207,1,71
177,275,137,1,112
960,611,733,0,10
559,907,588,0,14
155,117,298,1,119
798,734,834,0,10
285,207,304,1,74
942,400,594,0,16
1008,853,871,0,1
696,874,632,0,11
180,280,124,1,101
277,279,222,1,84
524,1010,739,0,7
1020,834,860,0,1
141,146,263,1,130
990,456,798,0,10
640,842,487,0,13
170,239,323,1,84
1003,773,1006,0,2
942,612,699,0,8
154,260,226,1,112
253,168,212,1,113
820,596,695,0,9
349,279,260,1,63
270,136,125,1,116
273,290,162,1,98
308,219,313,1,67
303,160,201,1,89
874,982,841,0,7
684,644,565,0,16
666,746,810,0,8
174,197,163,1,132
135,210,131,1,135
294,342,343,1,39
179,105,141,1,143
206,301,230,1,82
243,350,273,1,71
107,102,350,1,125
309,282,185,1,64
100,275,303,1,102
257,146,274,1,85
746,599,787,0,8
529,965,567,0,15
863,490,695,0,13
195,149,350,1,82
590,879,509,0,10
894,955,966,0,1
308,217,336,1,54
301,127,181,1,107
885,594,878,0,6
180,186,303,1,104
187,237,148,1,126
940,768,923,0,4
291,224,267,1,78
679,563,776,0,14
754,1003,604,0,7
1023,528,856,0,9
151,332,331,1,80
774,796,692,0,11
925,423,893,0,10
205,230,278,1,87
307,319,348,1,41
575,844,814,0,8
310,106,213,1,98
550,875,755,0,8
717,923,517,0,11
108,322,263,1,89
531,636,758,0,15
275,147,300,1,76
531,653,774,0,15
155,129,161,1,134
936,558,814,0,7
158,241,294,1,103
344,248,277,1,62
208,259,112,1,108
933,750,769,0,10
106,147,350,1,118
146,210,173,1,121
114,211,304,1,113
233,273,275,1,78
497,877,734,0,12
152,269,341,1,90
155,165,311,1,96
218,123,122,1,127
792,400,612,0,18
671,712,603,0,11
285,232,341,1,50
1023,534,899,0,9
480,873,801,0,9
937,492,615,0,14
573,749,625,0,11
341,318,140,1,67
946,792,879,0,5
350,232,215,1,82
838,467,816,0,9
188,200,153,1,118
631,772,755,0,10
287,128,160,1,112
226,319,130,1,87
559,811,611,0,15
180,158,192,1,113
132,270,132,1,134
505,972,773,0,9
265,214,263,1,89
242,177,102,1,134
611,673,555,0,15
325,204,202,1,83
659,689,654,0,15
227,329,103,1,95
285,100,274,1,90
878,432,770,0,14
659,813,653,0,11
726,771,845,0,6
872,672,632,0,13
100,144,133,1,164
760,619,950,0,8
886,676,860,0,7
316,255,262,1,69
1023,555,665,0,8
312,223,235,1,87
725,400,704,0,18
717,906,527,0,11
272,216,150,1,111
690,505,746,0,16
885,566,755,0,9
350,173,187,1,80
214,184,147,1,118
269,264,241,1,76
266,100,216,1,115
769,450,839,0,14
576,715,576,0,17
334,265,193,1,67
452,648,641,0,17
605,826,668,0,11
190,203,337,1,90
630,795,566,0,15
305,278,147,1,81
1023,485,718,0,8
132,277,225,1,103
168,274,285,1,92
179,350,275,1,67
227,214,182,1,101
541,721,597,0,17
919,623,763,0,7
612,629,749,0,15
454,771,573,0,17
171,125,192,1,129
528,978,691,0,11
113,236,192,1,125
213,122,229,1,107
520,947,584,0,13
574,717,805,0,12
100,172,230,1,130
697,794,653,0,10
301,100,199,1,114
136,206,191,1,113
180,313,209,1,96
336,236,234,1,73
899,582,849,0,6
286,326,195,1,69
400,745,659,0,16
907,565,753,0,10
311,133,239,1,92
643,931,608,0,10
232,153,335,1,92
497,642,508,0,20
103,199,101,1,141
333,181,281,1,71
176,345,155,1,84
493,744,738,0,11
525,660,577,0,16
202,112,285,1,113
188,350,217,1,90
272,315,246,1,70
1023,620,778,0,6
585,928,570,0,12
301,311,217,1,56
461,797,680,0,15
139,156,209,1,134
252,211,201,1,97
698,973,787,0,7
237,291,316,1,57
121,286,327,1,84
628,1023,526,0,11
644,618,495,0,17
333,105,146,1,108
212,210,323,1,79
511,666,451,0,14
915,865,909,0,5
726,695,608,0,11
204,216,192,1,101
314,294,320,1,35
342,305,332,1,27
870,503,619,0,15
667,840,674,0,12
350,350,251,1,54
147,195,189,1,127
852,494,882,0,11
183,328,298,1,62
193,188,100,1,123
564,941,487,0,14
154,317,350,1,61
278,223,110,1,110
680,620,733,0,13
540,897,587,0,12
450,1009,668,0,13
241,249,206,1,86
200,344,253,1,83
827,542,869,0,12
334,129,177,1,100
429,590,809,0,12
835,591,735,0,10
248,286,162,1,92
210,160,250,1,107
142,328,216,1,100
934,520,624,0,11
328,286,289,1,55
318,350,189,1,56
754,554,841,0,14
768,517,664,0,13
499,897,617,0,12
508,667,732,0,15
563,900,690,0,10
690,955,757,0,9
159,159,218,1,126
125,296,130,1,119
625,653,819,0,11
108,322,350,1,76
515,921,490,0,11
142,344,347,1,64
115,326,113,1,111
1003,430,847,0,8
664,690,696,0,14
289,329,194,1,70
299,288,110,1,84
500,814,672,0,14
541,798,545,0,15
155,175,197,1,125
724,539,741,0,16
270,274,330,1,58
479,920,689,0,10
562,850,643,0,11
587,673,794,0,13
350,123,100,1,125
771,768,786,0,11
731,679,535,0,16
451,802,624,0,16
573,967,759,0,11
1023,422,737,0,10
350,258,162,1,69
860,406,617,0,15
318,167,170,1,95
132,306,335,1,66
188,331,125,1,100
350,285,154,1,77
159,242,215,1,108
153,337,233,1,82
173,100,105,1,158
245,245,233,1,97
284,133,196,1,109
736,728,624,0,10
748,646,511,0,16
767,878,715,0,11
495,1017,730,0,12
141,197,265,1,119
1023,867,844,0,2
637,875,654,0,10
717,1023,565,0,11
179,169,142,1,134
321,251,312,1,66
100,261,311,1,86
121,245,300,1,99
227,111,106,1,143
234,118,222,1,109
620,849,771,0,7
132,245,214,1,108
251,330,292,1,58
554,965,744,0,11
505,901,528,0,15
544,967,790,0,8
156,225,188,1,117
269,174,167,1,113
641,917,587,0,10
225,196,187,1,98
962,916,979,0,3
249,146,199,1,112
173,121,202,1,140
264,185,177,1,99
214,324,124,1,100
905,991,931,0,4
251,139,177,1,126
751,597,712,0,15
190,284,246,1,77
109,182,247,1,115
521,777,776,0,11
144,121,275,1,120
862,654,728,0,11
797,820,946,0,4
194,252,104,1,126
284,169,185,1,106
236,313,111,1,98
549,666,526,0,16
141,185,209,1,115
107,172,342,1,99
211,282,255,1,81
825,494,803,0,8
171,122,311,1,120
641,845,490,0,13
531,742,794,0,11
854,527,756,0,12
977,789,900,0,7
599,970,754,0,10
798,466,692,0,15
617,907,506,0,11
947,480,889,0,9
290,281,291,1,48
568,841,746,0,10
621,622,621,0,13
156,217,128,1,139
1017,789,922,0,6
511,601,665,0,15
222,322,122,1,95
657,806,662,0,9
164,320,162,1,94
120,126,350,1,99
223,227,337,1,68
181,218,221,1,105
932,814,936,0,5
217,121,189,1,117
970,922,807,0,4
560,772,635,0,14
316,270,169,1,81
100,350,170,1,106
815,779,900,0,4
799,881,1002,0,3
100,246,113,1,146
205,344,186,1,91
100,283,272,1,101
164,219,301,1,94
732,679,588,0,15
709,992,648,0,10
181,173,299,1,101
275,315,122,1,83
420,592,537,0,18
736,570,698,0,10
698,506,653,0,17
223,159,274,1,98
119,200,350,1,107
128,322,131,1,118
330,239,255,1,62
166,324,196,1,96
199,211,213,1,95
973,440,876,0,7
901,582,929,0,9
688,703,646,0,14
320,100,334,1,80
717,740,749,0,10
195,133,160,1,126
192,226,129,1,130
827,492,652,0,11
802,994,1020,0,4
714,614,736,0,13
593,911,774,0,8
563,993,568,0,12
322,129,201,1,93
810,729,1001,0,5
127,319,259,1,81
654,946,691,0,11
945,435,644,0,11
185,307,143,1,96
158,272,161,1,122
457,680,593,0,18
150,290,275,1,90
323,136,350,1,81
321,345,190,1,52
156,322,238,1,87
468,943,628,0,14
217,236,246,1,91
315,177,263,1,74
259,117,259,1,111
618,758,757,0,13
962,963,951,0,1
692,805,691,0,11
100,285,235,1,103
741,999,646,0,6
642,1023,648,0,9
297,257,347,1,55
243,336,137,1,85
857,400,566,0,13
509,654,666,0,15
618,722,542,0,13
251,166,114,1,128
988,623,723,0,10
816,440,629,0,11
258,258,221,1,90
184,273,298,1,76
535,638,634,0,13
208,332,321,1,51
349,100,237,1,82
816,890,963,0,3
501,989,725,0,8
772,567,746,0,12
346,231,131,1,85
1023,987,855,0,2
336,235,229,1,81
127,100,152,1,141
112,268,296,1,98
235,230,321,1,82
752,754,807,0,7
822,985,923,0,1
311,180,225,1,98
116,174,240,1,135
205,322,200,1,96
265,125,191,1,118
107,184,142,1,151
309,131,350,1,62
330,306,194,1,59
126,100,195,1,154
709,861,659,0,13
625,634,562,0,14
464,716,739,0,14
587,593,800,0,10
153,327,283,1,69
168,128,263,1,125
100,119,324,1,126
756,674,599,0,12
339,215,201,1,86
621,1021,569,0,12
303,134,132,1,105
1023,563,550,0,10
700,966,591,0,12
979,872,832,0,6
262,183,322,1,72
161,163,149,1,127
553,656,788,0,13
592,759,471,0,16
304,231,205,1,85
948,904,813,0,4
843,400,885,0,14
324,190,234,1,75
340,134,128,1,114
674,887,758,0,6
348,147,297,1,78
166,131,223,1,127
436,874,747,0,9
250,172,126,1,127
668,664,648,0,15
166,100,296,1,128
350,219,239,1,58
579,722,508,0,12
781,416,703,0,14
211,100,321,1,98
226,208,197,1,93
914,1006,1004,0,2
957,876,1014,0,1
566,626,573,0,15
278,158,223,1,98
216,197,169,1,122
864,909,830,0,4
703,816,472,0,14
644,996,784,0,9
256,100,198,1,120
848,818,881,0,7
762,486,688,0,11
143,206,117,1,125
100,117,295,1,123
707,607,563,0,15
632,834,805,0,10
204,223,264,1,95
657,640,750,0,11
185,202,229,1,107
1023,636,705,0,7
940,931,875,0,3
637,661,742,0,12
171,311,303,1,72
326,350,152,1,60
925,694,704,0,10
820,502,635,0,12
612,863,603,0,12
855,1023,981,0,4
193,162,241,1,99
836,631,623,0,13
203,157,272,1,113
561,871,749,0,8
870,411,942,0,11
169,332,121,1,115
882,842,961,0,3
693,655,589,0,14
129,171,240,1,120
272,100,114,1,140
576,738,521,0,12
267,179,296,1,74
563,790,497,0,13
506,600,744,0,14
1023,587,691,0,10
824,1023,950,0,0
1023,516,664,0,9
484,868,681,0,14
705,447,945,0,9
655,507,780,0,15
297,169,143,1,101
191,128,100,1,155
542,714,776,0,13
795,692,704,0,9
904,639,738,0,12
341,145,290,1,82
100,144,211,1,138
617,697,642,0,15
702,468,839,0,15
899,700,878,0,8
674,719,793,0,10
184,157,261,1,114
280,240,201,1,88
908,468,674,0,10
1011,599,798,0,5
345,271,280,1,62
238,230,162,1,98
163,248,257,1,106
808,400,902,0,11
900,639,721,0,11
535,990,505,0,11
659,669,535,0,12
691,605,574,0,11
993,710,709,0,6
341,316,303,1,36
277,223,268,1,77
233,163,138,1,120
186,232,307,1,96
874,570,703,0,11
820,565,838,0,10
250,304,264,1,66
252,336,198,1,66
347,157,248,1,90
592,578,579,0,17
559,810,676,0,9
281,276,100,1,94
171,148,275,1,111
308,105,350,1,75
130,175,296,1,112
580,669,758,0,15
465,736,632,0,12
265,172,238,1,96
274,221,246,1,74
314,213,252,1,76
101,119,156,1,149
791,653,794,0,8
258,235,281,1,83
152,225,262,1,90
908,889,985,0,4
683,817,544,0,12
173,234,149,1,124
610,736,617,0,13
1006,1003,967,0,0
232,304,254,1,78
204,131,210,1,128
986,959,918,0,4
772,478,882,0,14
187,100,320,1,109
310,186,193,1,91
447,928,793,0,9
246,111,177,1,113
511,916,632,0,14
909,472,894,0,7
277,100,100,1,144
160,227,311,1,92
632,1023,587,0,9
127,216,173,1,133
308,104,291,1,87
137,328,196,1,105
282,146,115,1,130
621,831,786,0,10
315,117,255,1,103
864,489,773,0,9
345,129,174,1,93
330,119,341,1,74
350,225,350,1,42
350,142,326,1,73
838,810,938,0,6
178,350,239,1,68
198,230,117,1,122
775,623,677,0,12
166,222,340,1,96
864,979,990,0,5
433,973,699,0,11
263,233,305,1,74
174,125,131,1,149
555,958,627,0,13
322,193,100,1,99
203,274,325,1,63
501,616,704,0,18
828,470,864,0,13
555,991,614,0,12
155,109,199,1,142
930,400,571,0,13
273,209,320,1,81
689,992,633,0,9
268,338,248,1,55
549,770,647,0,15
552,730,546,0,16
110,287,156,1,126
262,156,267,1,97
503,658,813,0,15
245,233,161,1,107
166,226,271,1,100
985,507,772,0,8
862,477,806,0,9
769,756,754,0,10
196,234,256,1,89
272,143,235,1,90
610,800,615,0,14
143,226,303,1,102
278,200,181,1,97
325,282,164,1,69
229,197,181,1,116
136,188,223,1,115
612,637,779,0,14
100,127,176,1,146
108,149,237,1,120
332,269,237,1,73
290,297,136,1,87
706,751,594,0,13
988,815,842,0,5
272,159,286,1,84
181,242,343,1,85
482,1001,678,0,13
983,544,705,0,10
174,152,298,1,109
272,147,311,1,86
266,248,184,1,90
583,576,596,0,13
810,926,956,0,3
685,636,738,0,14
313,350,272,1,57
262,134,221,1,107
289,156,159,1,106
454,805,603,0,15
742,441,574,0,16
171,272,342,1,78
340,175,108,1,109
135,236,267,1,95
248,131,133,1,134
915,966,951,0,3
228,333,227,1,79
1007,494,836,0,7
862,465,745,0,13
128,137,222,1,121
350,242,209,1,63
299,315,312,1,55
180,157,274,1,104
151,279,156,1,121
605,871,489,0,10
813,1023,808,0,8
222,105,128,1,145
903,592,836,0,7
562,637,606,0,18
346,203,145,1,81
295,176,236,1,93
751,874,762,0,6
345,289,153,1,76
835,628,691,0,9
205,100,118,1,144
806,646,638,0,10
348,311,231,1,61
244,225,158,1,106
794,618,703,0,13
713,992,768,0,4
349,311,304,1,31
756,420,659,0,16
103,168,332,1,99
871,400,863,0,11
265,135,258,1,97
597,764,578,0,14
157,169,325,1,98
702,612,618,0,15
234,139,287,1,93
350,225,124,1,83
195,186,240,1,114
539,744,665,0,14
258,278,288,1,75
331,121,298,1,92
101,136,309,1,128
592,829,774,0,8
223,250,332,1,66
468,705,503,0,14
785,595,830,0,12
284,127,133,1,115
250,180,186,1,97
767,682,852,0,6
780,958,564,0,7
287,256,271,1,70
100,210,170,1,135
331,329,323,1,47
763,631,805,0,10
183,265,210,1,93
676,651,749,0,13
149,144,245,1,129
711,645,660,0,11
347,188,260,1,61
602,842,584,0,12
171,350,141,1,100
621,869,672,0,11
671,464,724,0,17
316,339,100,1,92
160,146,252,1,118
679,838,474,0,11
835,983,1001,0,5
734,664,571,0,15
265,258,127,1,98
756,685,520,0,13
166,220,217,1,105
1023,836,892,0,2
987,543,718,0,9
235,100,169,1,120
151,350,112,1,110
326,162,231,1,85
105,185,121,1,146
485,669,749,0,12
623,628,797,0,10
191,161,221,1,113
580,609,730,0,15
698,790,655,0,14
261,272,342,1,63
583,830,572,0,12
349,296,255,1,60
185,333,119,1,103
332,198,319,1,68
134,136,156,1,140
659,911,621,0,8
304,350,278,1,42
960,658,755,0,8
735,400,624,0,13
1023,400,848,0,11
796,495,781,0,9
754,417,695,0,14
148,285,301,1,85
267,287,151,1,79
429,865,579,0,12
282,146,181,1,97
177,307,219,1,101
161,219,206,1,114
814,545,670,0,11
782,943,576,0,9
254,347,319,1,46
300,208,154,1,96
296,263,265,1,70
642,1023,694,0,6
338,166,129,1,104
220,163,294,1,84
1001,408,656,0,11
554,1023,526,0,11
208,216,142,1,115
315,213,193,1,77
100,162,244,1,138
251,121,350,1,95
643,649,701,0,13
249,331,111,1,97
208,296,169,1,102
146,321,172,1,111
327,299,276,1,41
901,619,788,0,7
864,737,915,0,7
100,175,268,1,119
606,688,589,0,16
596,907,628,0,12
115,307,203,1,98
649,976,626,0,7
526,881,661,0,13
103,298,312,1,80
267,239,232,1,87
628,706,703,0,15
181,263,238,1,101
581,638,506,0,15
644,761,521,0,14
521,1023,731,0,8
203,350,183,1,90
614,592,656,0,15
308,120,129,1,118
691,930,501,0,10
339,347,221,1,63
113,104,120,1,149
546,886,538,0,13
648,884,596,0,9
203,262,329,1,82
140,116,213,1,124
207,239,270,1,84
638,834,584,0,10
206,167,138,1,133
225,138,182,1,130
484,820,592,0,17
731,618,647,0,13
581,735,718,0,13
880,913,1001,0,4
643,970,619,0,11
572,882,598,0,14
165,202,301,1,92
966,444,646,0,10
930,400,945,0,7
731,911,656,0,11
1000,709,779,0,7
268,325,198,1,82
150,326,117,1,106
336,184,330,1,52
813,632,781,0,8
100,155,348,1,109
726,512,655,0,15
225,341,220,1,77
677,736,722,0,12
556,581,579,0,14
727,586,844,0,9
703,678,703,0,10
729,702,571,0,11
159,208,270,1,102
275,246,348,1,51
228,100,296,1,102
728,698,555,0,14
577,725,709,0,15
759,689,506,0,11
204,350,301,1,71
230,172,206,1,107
741,583,630,0,12
1023,1004,1023,0,0
630,806,783,0,12
154,100,182,1,135
350,210,140,1,87
698,681,583,0,13
1019,661,950,0,3
234,337,269,1,64
600,786,589,0,16
233,245,109,1,119
623,874,705,0,11
203,250,156,1,115
100,216,318,1,104
879,636,923,0,5
860,487,685,0,12
735,590,768,0,13
267,235,308,1,72
966,455,638,0,9
664,757,627,0,14
1023,659,869,0,6
216,350,327,1,44
503,823,621,0,12
235,233,247,1,79
100,149,304,1,112
350,204,335,1,66
340,275,220,1,72
721,753,743,0,11
1009,558,633,0,8
249,153,129,1,134
135,350,320,1,60
514,826,703,0,9
164,253,215,1,98
132,350,298,1,78
571,881,524,0,12
297,119,243,1,106
344,231,333,1,57
963,653,842,0,5
476,797,793,0,10
525,753,600,0,17
345,297,170,1,73
546,1023,623,0,12
523,960,546,0,12
167,288,133,1,111
276,235,131,1,99
350,130,160,1,105
350,142,227,1,78
330,269,313,1,52
130,350,197,1,86
638,914,521,0,11
452,694,620,0,19
126,137,318,1,113
728,583,772,0,12
252,212,100,1,113
103,185,283,1,106
525,813,524,0,15
112,202,201,1,131
350,188,274,1,73
120,345,100,1,128
154,249,150,1,129
100,328,203,1,103
840,501,698,0,13
